,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
134,Darrell Arthur,arthuda01,Career,,,NBA,,503,8945,12.2,.495,.147,.151,7.0,15.9,11.4,7.2,1.8,2.7,11.3,18.5,,2.4,10.0,12.3,.066,,-2.4,0.5,-1.9,0.3
136,Jamel Artis,artisja01,Career,,,NBA,,9,114,5.1,.360,.370,.185,1.9,13.7,7.8,13.1,0.0,0.7,3.3,11.6,,-0.1,0.0,0.0,-0.016,,-5.2,-1.8,-7.0,-0.1
137,Omer Asik,asikom01,Career,,,NBA,,467,9155,13.5,.549,.001,.593,12.9,28.2,20.6,4.5,0.9,2.8,19.3,13.6,,7.3,13.6,20.9,.110,,-2.9,1.4,-1.5,1.1
138,Vincent Askew,askewvi01,Career,,,NBA,,467,9361,12.6,.551,.100,.421,5.0,9.5,7.3,15.5,1.6,0.8,14.3,16.1,,12.9,9.2,22.1,.113,,-0.3,-0.1,-0.5,3.6
139,Keith Askins,askinke01,Career,,,NBA,,486,7983,9.2,.507,.459,.184,7.6,13.1,10.4,7.1,1.8,1.5,15.0,12.0,,4.1,10.4,14.5,.087,,-1.1,1.4,0.3,4.6
142,Chucky Atkins,atkinch01,Career,,,NBA,,696,17304,13.1,.522,.426,.209,1.3,6.6,3.9,23.4,1.4,0.2,13.4,19.8,,19.2,8.7,27.9,.077,,1.0,-2.7,-1.8,1.0
145,Stacey Augmon,augmost01,Career,,,NBA,,1001,21658,13.7,.524,.012,.404,6.8,10.1,8.5,11.3,2.3,1.1,14.1,18.1,,19.6,24.2,43.8,.097,,-1.0,0.8,-0.2,9.8
146,D.J. Augustin,augusdj01,Career,,,NBA,,720,17030,14.0,.549,.435,.322,1.3,7.5,4.4,26.7,1.3,0.1,14.6,19.8,,23.8,10.9,34.8,.098,,1.0,-2.6,-1.6,1.7
147,James Augustine,augusja01,Career,,,NBA,,27,156,11.1,.518,.000,.216,13.2,11.5,12.3,4.2,1.6,0.9,12.9,13.7,,0.1,0.2,0.3,.101,,-2.0,-0.2,-2.2,0.0
148,Isaac Austin,austiis01,Career,,,NBA,,432,8350,13.0,.490,.018,.353,8.6,19.5,14.1,11.3,1.4,1.9,17.3,22.1,,-1.9,11.1,9.2,.053,,-3.2,0.8,-2.5,-1.0
150,Ken Austin,austike01,Career,,,NBA,,7,28,5.6,.462,.000,.000,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-5.1,-1.7,-6.9,0.0
151,Anthony Avent,aventan01,Career,,,NBA,,352,6729,8.8,.439,.001,.238,9.5,17.7,13.6,6.2,1.3,2.1,15.7,17.2,,-5.8,6.2,0.3,.002,,-5.0,0.1,-4.9,-5.0
152,Bird Averitt,averibi01,Career,,,TOT,,366,8163,12.5,.459,.052,.279,2.3,6.0,4.2,19.5,1.9,0.4,15.0,27.5,,-3.8,7.7,3.9,.023,,-2.0,-2.0,-4.0,-4.1
